player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
O. Albies,4,0,1,0,0,1,0,.241,.305,.349
A. Riley,5,1,2,0,0,0,2,.275,.329,.423
M. Ozuna,4,0,1,0,0,1,0,.278,.424,.466
D. Baldwin,0,0,0,0,0,0,0,.337,.381,.531
M. Olson,5,1,2,0,0,0,1,.238,.336,.460
S. Murphy,3,1,2,2,1,2,1,.228,.333,.500
E. White,5,0,0,0,0,0,1,.254,.299,.405
S. Fairchild,1,0,1,0,0,1,0,.182,.250,.273
R. Acuna Jr.,2,1,2,1,0,0,0,.389,.450,.833
M. Harris,4,0,2,1,0,0,2,.228,.259,.340
L. Williams,2,0,0,0,0,0,1,.000,.000,.000
A. Verdugo,1,0,0,0,0,0,0,.268,.328,.333
N. Allen,1,0,0,0,0,0,0,.245,.310,.273
