player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Duran,4,0,1,0,0,1,2,.274,.329,.427
R. Devers,4,0,1,0,0,0,1,.283,.407,.514
R. Refsnyder,3,2,1,0,0,1,0,.292,.377,.538
W. Abreu,1,0,0,0,0,0,1,.248,.323,.476
C. Narvaez,4,2,0,0,0,1,2,.277,.355,.440
R. Gonzalez,4,3,3,2,1,0,0,.329,.368,.486
M. Mayer,1,1,1,0,0,0,0,.229,.289,.371
A. Toro,5,1,2,1,0,0,0,.325,.338,.506
T. Story,5,1,3,5,0,0,0,.222,.268,.331
C. Rafaela,3,0,0,0,0,2,0,.244,.293,.397
K. Campbell,3,0,2,2,0,0,1,.227,.316,.345
D. Hamilton,2,0,0,0,0,0,1,.193,.221,.301
