player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Duran,5,1,2,0,0,0,1,.279,.328,.429
R. Devers,3,0,1,2,0,2,0,.287,.409,.523
W. Abreu,4,1,1,1,1,0,2,.255,.336,.505
R. Refsnyder,0,0,0,0,0,1,0,.314,.383,.608
M. Mayer,4,0,0,0,0,0,1,.263,.300,.368
K. Campbell,0,0,0,0,0,1,0,.225,.315,.354
N. Sogard,3,1,0,0,0,1,1,.245,.302,.306
T. Story,4,0,1,0,0,0,1,.218,.263,.318
D. Hamilton,5,0,0,1,0,0,3,.184,.215,.289
C. Wong,3,1,1,0,0,0,1,.157,.246,.157
A. Toro,1,0,0,0,0,0,1,.255,.255,.511
C. Narvaez,1,0,0,0,0,0,1,.289,.357,.465
C. Rafaela,5,1,3,1,1,0,1,.232,.283,.356
