player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
I. Happ,4,0,0,0,0,1,4,.279,.369,.396
K. Tucker,4,0,2,1,0,1,0,.290,.399,.559
S. Suzuki,5,0,0,0,0,0,2,.259,.322,.533
M. Busch,4,0,0,0,0,1,2,.252,.350,.479
N. Hoerner,5,0,1,0,0,0,0,.275,.317,.328
P. Crow-Armstrong,4,1,0,0,0,1,1,.264,.303,.535
D. Swanson,4,2,2,0,0,1,1,.240,.287,.445
M. Amaya,3,1,1,2,1,0,1,.257,.284,.471
C. Kelly,1,1,0,0,0,1,1,.355,.500,.806
J. Berti,3,0,1,1,0,0,0,.281,.349,.316
J. Turner,1,0,1,1,0,0,0,.184,.288,.184
V. Brujan,0,0,0,0,0,0,0,.222,.222,.333
N. Lopez,1,0,0,0,0,0,0,.091,.231,.091
