player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
M. Tauchman,3,0,0,1,0,1,0,.321,.435,.554
C. Meidroth,2,0,2,1,0,3,0,.312,.401,.369
E. Quero,5,0,2,0,0,0,0,.256,.343,.306
K. Lee,0,1,0,0,0,0,0,.250,.300,.357
A. Benintendi,3,0,0,0,0,2,0,.238,.315,.415
J. Palacios,3,0,1,0,0,0,0,.205,.301,.316
A. Slater,1,0,0,0,0,0,1,.263,.317,.526
T. Elko,5,0,1,1,0,0,3,.175,.195,.400
J. Rojas,4,1,3,0,0,0,0,.175,.264,.213
M. Taylor,4,1,2,0,0,0,1,.211,.283,.368
V. Capra,2,0,0,0,0,0,0,.125,.125,.188
M. Vargas,1,0,0,0,0,0,0,.237,.314,.416
