player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
C. Meidroth,5,1,1,0,0,0,0,.292,.380,.354
M. Tauchman,3,2,2,0,0,2,1,.308,.455,.423
M. Vargas,5,1,2,3,1,0,1,.244,.316,.440
A. Benintendi,4,0,0,0,0,0,3,.216,.293,.373
E. Quero,3,0,0,0,0,1,1,.265,.348,.324
J. Palacios,2,0,0,0,0,1,0,.222,.325,.354
A. Slater,1,0,1,0,0,0,0,.286,.333,.643
L. Sosa,4,0,0,0,0,0,1,.271,.290,.387
J. Rojas,2,0,1,0,0,1,0,.154,.267,.173
L. Robert Jr.,1,0,0,0,0,0,1,.190,.276,.307
V. Capra,0,0,0,0,0,0,0,.000,.000,.000
M. Taylor,4,0,1,0,0,0,2,.196,.248,.343
