player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Kwan,4,0,1,0,0,0,0,.320,.378,.438
L. Thomas,4,0,0,0,0,1,1,.132,.172,.151
J. Ramirez,5,2,2,1,0,0,1,.308,.365,.519
K. Manzardo,5,1,2,1,0,0,2,.220,.310,.472
C. Santana,4,1,1,0,0,1,1,.235,.345,.371
D. Schneemann,2,0,1,0,0,0,1,.255,.339,.464
W. Wilson,1,0,0,0,0,0,1,.185,.290,.222
A. Martinez,2,1,1,2,0,0,0,.281,.305,.405
G. Arias,5,0,1,0,0,0,1,.238,.299,.363
B. Naylor,4,1,1,2,1,0,1,.200,.295,.433
J. Noel,3,1,0,0,0,0,0,.151,.178,.244
N. Jones,2,0,1,1,0,0,0,.185,.274,.286
