player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Pena,5,2,2,2,1,0,0,.298,.362,.449
I. Paredes,4,0,0,0,0,0,0,.270,.371,.480
B. Rodgers,0,0,0,0,0,1,0,.198,.271,.271
J. Altuve,4,3,4,3,2,0,0,.272,.321,.417
Z. Dezenzo,1,0,0,0,0,0,1,.233,.313,.337
C. Walker,4,1,1,2,1,0,1,.213,.275,.366
J. Meyers,4,1,1,0,0,0,2,.299,.356,.415
Y. Diaz,2,2,1,0,0,1,1,.232,.273,.362
C. Salazar,1,0,0,0,0,0,0,.000,.000,.000
C. Smith,4,0,1,2,0,0,2,.261,.342,.391
C. McCormick,4,1,2,1,0,0,0,.262,.354,.310
M. Dubon,4,1,1,1,0,0,0,.271,.303,.376
