player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. India,5,1,1,0,0,0,0,.248,.332,.322
B. Witt Jr.,5,1,1,0,0,0,3,.286,.348,.486
M. Garcia,3,3,2,2,1,2,0,.311,.375,.477
V. Pasquantino,5,0,1,1,0,0,0,.267,.319,.403
S. Perez,5,0,2,2,0,0,0,.236,.272,.356
J. Caglianone,4,0,0,0,0,0,3,.077,.077,.154
J. Rave,0,0,0,0,0,0,0,.200,.250,.267
M. Canha,3,1,1,0,0,0,0,.263,.326,.303
D. Waters,1,0,0,0,0,0,0,.271,.307,.368
N. Loftin,4,0,2,1,0,0,0,.292,.308,.542
K. Isbel,0,0,0,0,0,0,0,.283,.291,.414
F. Fermin,3,1,2,1,1,1,0,.255,.301,.340
