player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
Z. Neto,3,0,1,0,0,1,0,.270,.312,.503
N. Schanuel,2,0,0,0,0,2,1,.273,.372,.376
T. Ward,4,0,0,0,0,0,0,.217,.272,.493
J. Soler,4,0,0,0,0,0,1,.221,.293,.392
L. O'Hoppe,4,1,0,0,0,0,2,.258,.293,.506
J. Adell,3,1,0,0,0,0,3,.208,.278,.390
L. Rengifo,4,0,1,1,0,0,1,.214,.249,.269
C. Taylor,2,0,0,0,0,0,1,.174,.174,.217
M. Trout,1,0,1,1,0,0,0,.207,.282,.474
K. Newman,0,0,0,0,0,0,0,.180,.196,.200
S. Kingery,2,0,0,0,0,0,1,.200,.333,.400
Y. Moncada,1,0,0,0,0,0,1,.237,.336,.505
