player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Ohtani,4,2,2,0,0,0,2,.298,.395,.667
D. Rushing,2,1,1,3,1,0,0,.273,.304,.455
T. Hernández,3,1,0,0,0,1,2,.298,.324,.556
E. Hernández,2,0,2,0,0,0,0,.237,.302,.447
F. Freeman,3,2,2,1,0,1,0,.374,.440,.638
M. Rojas,2,0,0,0,0,0,0,.224,.250,.294
W. Smith,6,2,2,1,0,0,1,.342,.454,.517
M. Muncy,6,3,3,7,2,0,0,.220,.341,.382
A. Pages,4,1,1,1,1,2,0,.275,.326,.461
M. Conforto,2,1,0,1,0,2,0,.173,.318,.284
T. Edman,5,2,4,2,0,0,0,.245,.287,.470
H. Kim,4,3,4,2,1,1,0,.422,.458,.600
