player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
X. Edwards,2,0,0,0,0,0,0,.280,.349,.317
J. Sanoja,3,1,1,0,0,0,0,.238,.287,.331
J. Sánchez,4,0,0,0,0,0,4,.265,.353,.391
O. Lopez,4,1,1,2,1,0,1,.228,.299,.359
A. Ramirez,4,1,3,1,1,0,0,.253,.313,.487
J. Winkler,0,0,0,0,0,0,0,.000,.000,.000
L. Hicks,3,0,1,0,0,0,0,.284,.357,.480
N. Fortes,1,0,0,0,0,0,0,.169,.239,.277
E. Wagaman,4,0,3,0,0,0,0,.258,.304,.385
H. Hernandez,4,0,0,0,0,0,0,.167,.231,.167
C. Norby,4,0,0,0,0,0,0,.245,.283,.377
D. Myers,4,0,2,0,0,0,1,.310,.361,.450
