player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Sánchez,4,1,0,0,0,1,2,.221,.331,.310
A. Ramirez,5,1,1,0,0,0,0,.250,.310,.519
O. Lopez,3,1,1,0,0,2,0,.220,.298,.331
K. Stowers,5,0,1,0,0,0,2,.316,.387,.556
E. Wagaman,4,1,1,1,0,1,0,.253,.304,.394
L. Hicks,3,1,1,0,0,1,1,.276,.347,.483
N. Fortes,0,0,0,0,0,1,0,.229,.275,.375
C. Norby,5,1,3,3,1,0,0,.288,.331,.450
M. Mervis,2,0,0,0,0,0,1,.175,.258,.386
D. Hill,3,0,2,0,0,0,0,.232,.303,.362
R. Simon,2,0,1,1,0,1,0,.209,.300,.256
J. Sanoja,0,0,0,0,0,0,0,.238,.277,.314
