player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Turang,5,0,1,0,0,0,1,.275,.355,.362
J. Chourio,4,0,1,0,0,0,0,.260,.285,.443
C. Yelich,3,0,1,0,0,1,2,.238,.319,.429
W. Contreras,3,0,0,0,0,1,1,.238,.349,.341
S. Frelick,3,0,1,0,0,1,1,.292,.354,.403
I. Collins,1,0,0,0,0,3,0,.229,.341,.333
J. Bauers,3,0,0,0,0,0,1,.244,.350,.442
D. Cameron,1,0,0,0,0,0,1,.194,.216,.306
A. Monasterio,0,0,0,0,0,0,0,.167,.310,.250
C. Durbin,4,0,0,0,0,0,0,.210,.293,.304
J. Ortiz,2,0,0,0,0,0,0,.176,.254,.238
R. Hoskins,1,0,0,0,0,0,1,.268,.362,.449
