player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Lindor,4,0,0,0,0,2,3,.277,.351,.470
S. Marte,4,2,2,0,0,0,0,.217,.327,.325
J. Soto,5,0,0,0,0,1,1,.236,.369,.418
P. Alonso,3,1,0,1,0,1,1,.287,.391,.527
J. Azocar,0,0,0,0,0,0,0,.278,.350,.278
L. Torrens,1,0,0,0,0,0,0,.265,.344,.434
B. Nimmo,1,0,0,0,0,0,1,.212,.274,.397
J. McNeil,5,1,1,2,0,0,0,.241,.375,.466
T. Taylor,5,0,2,1,0,1,1,.252,.303,.363
F. Alvarez,5,0,0,0,0,1,2,.232,.321,.304
B. Baty,4,1,2,1,1,1,2,.234,.265,.479
L. Acuna,5,0,0,0,0,0,1,.256,.311,.306
