player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
P. Goldschmidt,4,2,3,1,0,1,0,.344,.399,.492
J.C. Escarra,1,0,1,0,0,0,0,.195,.320,.341
T. Grisham,6,1,1,2,0,0,2,.257,.354,.543
A. Judge,4,2,1,1,1,1,1,.395,.485,.759
P. Reyes,1,0,1,0,0,0,0,.192,.250,.231
C. Bellinger,5,1,3,1,0,0,0,.267,.332,.483
A. Volpe,6,2,3,2,0,0,1,.243,.325,.432
J. Dominguez,3,0,2,1,0,1,0,.247,.345,.432
D. LeMahieu,5,1,3,1,0,0,0,.269,.345,.385
A. Wells,4,2,2,2,0,1,2,.209,.278,.446
B. Rice,0,0,0,0,0,0,0,.245,.335,.523
O. Peraza,4,2,1,1,0,1,2,.176,.253,.338
