player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
L. Butler,3,0,1,0,0,1,2,.249,.307,.441
J. Wilson,3,0,0,0,0,0,0,.348,.391,.505
M. Schuemann,1,0,0,0,0,0,0,.255,.356,.392
B. Rooker,3,0,1,0,0,0,1,.256,.321,.467
W. MacIver,1,0,0,0,0,0,0,.200,.200,.200
T. Soderstrom,2,0,0,0,0,0,2,.257,.324,.440
D. Clarke,2,0,0,0,0,0,2,.053,.053,.053
S. Langeliers,4,0,1,0,0,0,1,.243,.307,.427
M. Andujar,3,0,0,0,0,0,0,.304,.333,.410
D. Avans,3,0,0,0,0,0,2,.250,.250,.250
L. Urias,3,0,1,0,0,0,1,.250,.336,.417
L. Davidson,2,0,0,0,0,1,2,.333,.500,.500
