player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
O. Cruz,3,1,0,0,0,1,2,.246,.381,.492
B. Reynolds,4,0,0,0,0,0,2,.224,.288,.361
A. McCutchen,3,0,1,0,0,1,0,.255,.350,.402
K. Hayes,4,0,2,1,0,0,0,.254,.307,.315
A. Canario,3,0,0,0,0,0,1,.122,.200,.195
A. Frazier,1,0,0,0,0,0,0,.235,.301,.324
M. Gorski,3,0,0,0,0,0,2,.211,.211,.474
E. Valdez,1,0,0,0,0,0,0,.218,.306,.379
J. Triolo,3,0,0,0,0,0,1,.140,.206,.193
J. Bart,1,0,0,0,0,0,0,.273,.407,.375
L. Peguero,3,0,1,0,0,0,0,.333,.333,.333
H. Davis,2,0,0,0,0,1,1,.133,.212,.233
