player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J.P. Crawford,4,0,2,1,0,1,1,.285,.398,.397
J. Polanco,4,1,1,0,0,1,0,.253,.302,.476
J. Rodriguez,2,1,2,0,0,0,0,.254,.321,.421
L. Taveras,3,0,0,0,0,0,0,.174,.198,.272
C. Raleigh,5,2,2,4,2,0,2,.272,.380,.655
R. Arozarena,5,0,3,0,0,0,1,.220,.340,.372
R. Tellez,3,0,0,0,0,0,0,.205,.253,.418
D. Moore,2,0,0,0,0,0,1,.250,.307,.456
M. Mastrobuoni,2,1,1,0,0,1,1,.243,.325,.301
D. Solano,1,0,0,0,0,0,0,.167,.205,.192
C. Young,4,1,2,1,0,0,1,.130,.167,.174
B. Williamson,3,0,1,0,0,0,1,.253,.286,.312
