player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
D. Moore,5,0,0,0,0,0,2,.256,.319,.471
C. Raleigh,4,0,1,0,0,1,1,.254,.372,.577
J. Rodriguez,5,2,3,0,0,0,0,.236,.312,.413
R. Arozarena,4,1,1,0,0,0,3,.232,.362,.403
M. Garver,3,0,1,2,0,0,1,.229,.354,.289
J. Polanco,1,0,0,0,0,0,1,.282,.336,.557
D. Solano,2,0,1,1,0,0,0,.171,.203,.200
R. Tellez,2,0,1,0,0,0,1,.211,.272,.456
J.P. Crawford,0,0,0,0,0,0,0,.260,.379,.358
L. Taveras,4,0,1,0,0,0,0,.214,.237,.375
B. Williamson,4,0,1,0,0,0,1,.236,.271,.293
L. Rivas,4,0,1,0,0,0,0,.276,.408,.293
