player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
L. Nootbaar,2,1,0,0,0,2,2,.250,.356,.403
M. Winn,4,1,1,0,0,1,0,.273,.349,.422
B. Donovan,5,1,1,0,0,0,2,.314,.380,.450
W. Contreras,4,1,2,3,0,0,1,.250,.328,.391
I. Herrera,4,0,1,0,0,0,0,.333,.417,.578
N. Arenado,4,1,2,2,1,0,1,.228,.296,.379
Y. Pozo,3,0,0,0,0,0,2,.298,.305,.404
A. Burleson,1,0,0,0,0,0,1,.290,.339,.426
R. Vilade,2,0,0,0,0,1,1,.000,.125,.000
N. Gorman,1,0,0,0,0,0,1,.198,.292,.333
P. Pages,0,0,0,0,0,0,0,.214,.255,.357
V. Scott,3,0,0,0,0,0,2,.245,.322,.332
