player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
Y. Diaz,4,0,0,0,0,1,1,.239,.290,.391
C. Mead,3,0,0,0,0,0,0,.220,.287,.341
J. Aranda,2,0,0,0,0,0,0,.321,.409,.495
B. Lowe,5,1,1,1,1,0,1,.247,.298,.454
J. Caminero,4,1,0,0,0,0,1,.262,.294,.519
K. Misner,0,0,0,0,0,0,0,.224,.290,.376
J. Mangum,4,0,0,0,0,0,0,.289,.324,.361
J. Caballero,4,1,0,0,0,1,2,.233,.318,.360
C. Morel,3,3,3,4,2,0,0,.222,.300,.400
J. Lowe,2,0,0,0,0,0,2,.263,.333,.434
D. Jansen,4,3,3,2,1,0,0,.200,.320,.354
T. Walls,4,1,2,3,1,0,1,.210,.288,.280
