player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Bichette,4,2,2,3,1,0,0,.277,.324,.426
A. Barger,2,1,2,0,0,0,0,.266,.328,.422
V. Guerrero Jr.,4,1,1,2,1,0,0,.279,.382,.433
A. Sanchez,2,0,1,0,0,0,0,.250,.250,.375
G. Springer,5,2,2,1,1,0,1,.250,.367,.445
A. Kirk,3,2,3,1,0,1,0,.297,.341,.380
A. Santander,2,1,0,0,0,2,2,.179,.273,.304
N. Lukes,1,0,0,0,0,0,0,.263,.366,.411
E. Clement,5,1,3,5,1,0,0,.256,.301,.344
M. Straw,5,0,1,0,0,0,0,.278,.301,.356
J. Clase,4,2,2,0,0,1,0,.270,.357,.351
M. Stefanic,4,0,1,0,0,1,0,.182,.280,.182
