player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Profar,4,1,2,1,1,0,0,.261,.360,.486
M. Olson,3,0,1,0,0,0,1,.270,.367,.460
E. White,1,0,0,0,0,0,0,.233,.270,.388
O. Albies,4,1,1,0,0,0,0,.242,.309,.370
D. Baldwin,3,0,0,0,0,1,0,.276,.349,.447
H. Kim,2,0,0,0,0,1,0,.294,.316,.471
N. Allen,1,0,0,0,0,0,0,.221,.284,.249
M. Harris,3,0,0,1,0,0,1,.244,.264,.401
R. Acuna Jr.,2,0,0,0,0,0,1,.271,.399,.487
J. Fraley,2,0,1,0,0,0,1,.300,.333,.350
M. Ozuna,3,0,0,0,0,0,2,.227,.355,.400
N. Alvarez Jr.,3,0,1,0,0,0,1,.256,.331,.338
