player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Holliday,5,0,1,0,0,0,0,.245,.312,.384
J. Jackson,5,2,3,1,1,0,2,.337,.356,.520
D. Johnson,0,0,0,0,0,0,0,.227,.292,.318
G. Henderson,4,0,1,0,0,1,0,.279,.349,.457
E. Rivera,3,0,1,0,0,0,1,.244,.303,.280
C. Cowser,1,0,0,0,0,0,1,.210,.272,.397
L. Vazquez,0,0,0,0,0,0,0,.171,.190,.268
D. Beavers,4,1,2,1,0,0,1,.333,.439,.479
D. Carlson,3,1,0,0,0,1,1,.208,.271,.354
S. Basallo,4,0,2,2,0,0,0,.217,.280,.370
C. Mayo,4,0,1,0,0,0,3,.186,.262,.325
A. Jackson,4,0,0,0,0,0,4,.239,.301,.522
