player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
M. Yoshida,4,0,0,0,0,0,0,.234,.286,.344
C. Narvaez,1,0,1,1,0,0,0,.249,.319,.419
A. Bregman,4,1,0,0,0,1,2,.278,.360,.477
J. Duran,5,0,0,0,0,0,1,.257,.334,.442
T. Story,3,1,2,1,0,0,1,.262,.308,.436
N. Lowe,3,1,1,0,0,1,0,.319,.389,.553
R. Refsnyder,1,0,0,0,0,1,0,.277,.360,.484
R. Gonzalez,2,1,1,0,0,0,0,.307,.342,.492
D. Hamilton,3,1,1,1,0,0,1,.203,.259,.316
N. Eaton,0,1,0,0,0,1,0,.260,.321,.320
C. Rafaela,4,0,1,0,0,0,1,.245,.288,.416
C. Wong,3,0,0,0,0,0,0,.192,.262,.238
N. Sogard,1,1,1,2,0,0,0,.254,.324,.343
A. Chapman,0,0,0,0,0,0,0,.000,.000,.000
