player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
C. Meidroth,3,0,1,0,0,1,0,.248,.339,.296
A. Slater,3,0,0,0,0,0,1,.227,.292,.402
J. Rojas,1,0,0,0,0,0,0,.183,.254,.248
M. Vargas,4,0,0,0,0,0,0,.218,.297,.384
E. Quero,4,0,0,0,0,0,0,.269,.346,.335
M. Tauchman,2,1,0,0,0,1,1,.293,.378,.453
L. Robert Jr.,3,1,1,2,1,0,1,.187,.272,.323
L. Sosa,3,0,0,0,0,0,2,.269,.290,.404
T. Elko,1,0,0,0,0,0,1,.145,.209,.355
C. Montgomery,1,0,0,0,0,1,0,.316,.435,.421
M. Taylor,2,0,0,0,0,0,0,.221,.293,.395
A. Benintendi,1,0,0,0,0,0,0,.222,.281,.413
