player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
T. Friedl,3,0,0,0,0,2,0,.262,.364,.370
N. Marte,4,0,1,0,0,0,0,.295,.335,.519
E. De La Cruz,4,1,1,0,0,0,0,.273,.342,.453
M. Andujar,4,0,2,0,0,0,0,.369,.431,.600
G. Lux,2,0,1,1,0,1,0,.276,.356,.383
A. Hays,1,0,0,0,0,0,0,.261,.318,.442
S. Steer,4,0,1,0,0,0,0,.235,.303,.399
K. Hayes,4,0,1,0,0,0,0,.241,.320,.425
J. Trevino,2,0,0,0,0,0,0,.244,.283,.370
W. Benson,1,0,0,0,0,0,0,.217,.268,.402
W. Banfield,1,0,0,0,0,0,0,.167,.167,.167
M. McLain,4,1,1,1,1,0,0,.221,.298,.335
