player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
T. Friedl,4,0,0,0,0,1,2,.267,.367,.379
W. Banfield,0,0,0,0,0,0,0,.100,.100,.100
N. Marte,5,0,2,3,0,0,1,.292,.332,.512
E. De La Cruz,5,0,0,0,0,0,3,.269,.338,.449
A. Hays,5,0,1,0,0,0,2,.262,.316,.457
G. Lux,3,2,1,0,0,1,0,.275,.356,.381
S. Steer,4,2,2,1,0,0,0,.237,.306,.401
K. Hayes,2,1,0,0,0,1,1,.275,.345,.441
S. Stewart,1,0,0,0,0,0,1,.222,.222,.222
J. Trevino,3,1,1,2,0,0,0,.246,.284,.371
W. Benson,1,1,1,1,0,0,0,.224,.274,.411
M. McLain,4,2,2,2,0,0,1,.228,.307,.350
