player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Kwan,5,1,2,0,0,0,0,.283,.345,.399
A. Martinez,3,1,0,0,0,0,0,.236,.271,.383
D. Schneemann,1,1,0,0,0,0,1,.233,.316,.403
J. Ramirez,4,1,0,0,0,1,0,.299,.375,.528
D. Fry,5,1,1,1,0,0,1,.174,.232,.359
C. Kayfus,0,0,0,0,0,0,0,.125,.125,.250
C. Santana,5,1,1,1,0,0,0,.230,.319,.342
G. Arias,4,1,1,4,1,0,1,.236,.294,.385
N. Jones,5,0,1,0,0,0,3,.216,.311,.304
B. Rocchio,3,0,2,0,0,0,1,.231,.287,.330
A. Hedges,3,0,1,0,0,0,1,.133,.220,.238
K. Manzardo,1,0,0,0,0,0,1,.234,.310,.462
B. Naylor,0,0,0,0,0,0,0,.181,.285,.379
