player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Kwan,4,0,3,2,0,0,1,.298,.358,.419
D. Fry,3,0,0,0,0,0,3,.148,.220,.278
K. Manzardo,2,0,0,0,0,0,1,.217,.289,.429
J. Ramirez,3,0,0,0,0,1,1,.297,.360,.484
C. Santana,4,0,0,0,0,0,1,.235,.329,.363
A. Martinez,4,0,2,0,0,0,1,.238,.262,.358
J. Rodriguez,3,0,0,0,0,0,1,.146,.205,.244
N. Jones,1,0,0,0,0,0,0,.220,.305,.317
W. Wilson,3,0,0,0,0,0,2,.167,.250,.222
B. Naylor,1,0,0,0,0,0,0,.173,.273,.360
A. Hedges,3,0,1,0,0,0,1,.115,.222,.231
D. Schneemann,1,2,0,0,0,0,0,.213,.295,.376
B. Rocchio,3,0,0,0,0,1,0,.165,.241,.204
