player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Kwan,4,0,0,0,0,0,1,.272,.328,.379
D. Schneemann,4,0,0,0,0,0,4,.215,.297,.372
J. Ramirez,4,1,2,1,1,0,0,.280,.354,.497
K. Manzardo,2,1,1,1,1,1,0,.232,.315,.467
B. Naylor,2,0,0,0,0,0,1,.180,.278,.350
A. Martinez,1,0,0,0,0,0,1,.225,.264,.361
N. Jones,2,0,0,0,0,0,1,.214,.303,.311
D. Fry,1,0,0,0,0,0,1,.157,.219,.346
A. Hedges,1,0,0,0,0,0,0,.146,.231,.262
G. Arias,4,0,0,0,0,0,2,.221,.278,.366
C. Kayfus,1,0,0,0,0,1,0,.200,.270,.375
J. Noel,1,0,0,0,0,0,1,.151,.171,.244
B. Rocchio,3,0,0,0,0,0,1,.233,.281,.335
