player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
T. Freeman,4,1,1,0,0,0,1,.305,.390,.408
E. Tovar,3,0,2,1,0,0,1,.271,.313,.453
O. Arcia,1,0,0,0,0,0,0,.179,.217,.285
H. Goodman,3,0,1,0,0,0,1,.278,.324,.521
A. Nola,0,0,0,0,0,1,0,.194,.237,.222
J. Beck,3,0,1,0,0,0,1,.279,.337,.472
Y. Fernandez,1,0,0,0,0,0,0,.228,.241,.316
W. Bernabel,4,0,1,0,0,0,0,.417,.432,.833
B. Doyle,4,0,1,0,0,0,1,.224,.272,.344
T. Estrada,4,0,0,0,0,0,1,.258,.290,.377
B. Fulford,2,0,0,0,0,1,1,.238,.267,.405
K. Farmer,3,0,1,0,0,0,0,.218,.265,.345
