player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
C. Keith,4,2,3,2,1,0,0,.268,.348,.435
G. Torres,3,1,0,0,0,2,1,.259,.358,.399
K. Carpenter,2,1,1,2,0,2,1,.267,.304,.541
J. Jones,0,0,0,0,0,0,0,.238,.319,.488
R. Greene,4,1,1,2,1,0,1,.265,.314,.507
J. Rogers,1,0,0,0,0,0,1,.172,.275,.312
S. Torkelson,2,1,1,0,0,2,1,.243,.338,.477
A. Ibanez,1,0,1,0,0,0,0,.244,.304,.366
W. Perez,3,1,2,1,1,1,0,.266,.329,.486
D. Dingler,5,1,2,0,0,0,1,.274,.320,.426
T. Sweeney,4,2,2,3,1,0,1,.209,.273,.319
J. Baez,4,0,0,0,0,0,1,.266,.292,.420
