player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Malloy,3,0,0,0,0,0,0,.208,.339,.281
R. Greene,2,0,0,0,0,0,1,.296,.346,.552
G. Torres,5,1,1,0,0,0,0,.279,.383,.428
J. Jones,3,1,2,2,0,1,0,.343,.425,.657
P. Meadows,0,0,0,0,0,0,0,.188,.270,.313
S. Torkelson,3,1,1,1,0,1,1,.234,.336,.485
M. Vierling,3,0,1,0,0,1,0,.235,.300,.235
W. Perez,4,0,0,0,0,0,1,.273,.324,.566
D. Dingler,1,0,0,0,0,1,0,.271,.304,.427
C. Keith,1,0,1,1,0,0,0,.258,.339,.418
J. Rogers,1,0,1,0,0,0,0,.190,.294,.310
J. Baez,4,1,1,0,0,0,1,.284,.322,.457
Z. McKinstry,3,0,0,0,0,0,2,.290,.361,.456
T. Sweeney,1,0,0,0,0,0,0,.221,.281,.313
