player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
C. Correa,6,1,2,1,0,0,0,.340,.397,.491
J. Altuve,5,1,1,1,1,1,3,.280,.345,.468
Y. Diaz,5,0,1,0,0,1,1,.252,.281,.417
C. Walker,4,0,1,0,0,2,2,.234,.302,.392
R. Urias,6,0,0,1,0,0,2,.265,.306,.412
C. Smith,2,2,1,0,0,1,1,.253,.322,.372
J. Sanchez,1,0,0,0,0,0,0,.188,.235,.292
V. Caratini,1,0,0,0,0,0,0,.264,.321,.415
E. De Los Santos,0,0,0,0,0,0,0,.000,.000,.000
M. Dubon,2,1,1,1,0,1,0,.263,.309,.391
J. Pena,1,0,0,0,0,1,1,.317,.373,.490
C. McCormick,2,0,0,0,0,1,2,.227,.289,.318
T. Trammell,1,0,0,0,0,1,0,.217,.324,.370
J. Melton,5,0,1,1,0,0,4,.200,.250,.244
