player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
I. Paredes,5,2,1,1,1,1,1,.255,.357,.468
J. Meyers,5,3,3,0,0,0,1,.309,.368,.407
Z. Short,0,0,0,0,0,1,0,.000,.500,.000
J. Altuve,3,4,3,5,2,2,0,.269,.331,.443
S. Whitcomb,1,0,0,0,0,0,0,.059,.059,.235
C. Smith,6,2,2,1,0,0,2,.292,.359,.446
C. Walker,5,3,4,4,1,0,1,.235,.296,.380
V. Caratini,5,2,3,4,1,0,0,.254,.308,.429
C. Salazar,1,0,0,0,0,0,0,.143,.143,.143
Y. Diaz,3,0,1,1,0,2,0,.245,.277,.388
T. Trammell,2,0,0,0,0,0,2,.000,.273,.000
C. Hummel,2,1,1,1,0,2,0,.231,.388,.385
M. Dubon,6,1,2,0,0,0,1,.251,.290,.394
