player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Pena,5,0,1,0,0,0,1,.305,.366,.477
Y. Alvarez,5,2,4,2,1,0,0,.273,.373,.438
J. Altuve,3,0,0,0,0,2,2,.269,.333,.450
C. Correa,5,0,2,0,0,0,1,.293,.351,.407
C. Walker,5,0,0,0,0,0,3,.233,.298,.402
Y. Diaz,3,0,0,0,0,1,1,.251,.283,.411
C. Smith,2,0,0,0,0,0,0,.242,.314,.357
J. Sanchez,2,1,1,1,1,0,0,.253,.313,.440
R. Urias,3,0,0,0,0,0,1,.257,.293,.414
V. Caratini,1,1,1,0,0,0,0,.268,.322,.421
M. Dubon,2,0,0,0,0,0,0,.249,.297,.371
T. Trammell,2,0,1,0,0,0,1,.208,.314,.356
