player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
M. Garcia,3,0,0,0,0,0,1,.309,.370,.477
B. Witt Jr.,4,1,2,1,0,0,1,.279,.337,.468
V. Pasquantino,4,0,2,1,0,0,1,.275,.330,.417
C. Estevez,0,0,0,0,0,0,0,.000,.000,.000
S. Perez,3,0,0,0,0,0,0,.232,.272,.363
M. Canha,3,0,0,0,0,0,0,.242,.311,.275
D. Waters,1,0,0,0,0,0,0,.260,.297,.347
N. Loftin,4,0,0,0,0,0,2,.244,.286,.467
J. Caglianone,4,0,1,0,0,0,1,.213,.229,.255
F. Fermin,3,0,2,0,0,0,0,.261,.302,.336
T. Tolbert,1,0,0,0,0,0,1,.125,.125,.125
K. Isbel,2,1,1,0,0,0,0,.268,.285,.390
L. Erceg,0,0,0,0,0,0,0,.000,.000,.000
J. India,1,0,0,0,0,0,0,.248,.331,.335
J. Rave,0,0,0,0,0,0,0,.240,.286,.320
