player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
M. Yastrzemski,3,2,0,0,0,2,1,.224,.319,.520
M. Garcia,4,1,1,1,0,1,0,.294,.358,.470
V. Pasquantino,4,1,2,2,0,1,1,.262,.323,.471
L. Avila,0,0,0,0,0,0,0,.000,.000,.000
S. Long,0,0,0,0,0,0,0,.000,.000,.000
S. Perez,4,1,2,3,1,0,1,.240,.283,.447
M. Massey,1,0,1,0,0,0,0,.220,.236,.278
A. Frazier,3,2,0,0,0,2,2,.292,.333,.431
J. Caglianone,5,2,2,0,0,0,1,.151,.215,.277
N. Loftin,5,1,3,2,0,0,0,.209,.282,.361
C. Jensen,4,0,1,2,0,0,0,.143,.250,.286
K. Isbel,4,1,1,1,0,0,0,.263,.305,.367
T. Tolbert,0,0,0,0,0,0,0,.222,.275,.333
