player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
Z. Neto,4,0,0,0,0,0,1,.257,.317,.475
L. Davidson,1,1,1,0,0,0,0,.500,.500,.500
M. Trout,4,1,1,0,0,0,1,.229,.362,.419
S. Kingery,1,0,0,0,0,0,0,.154,.214,.192
Y. Moncada,2,0,1,1,0,0,0,.235,.328,.460
C. Taylor,3,0,0,0,0,0,0,.180,.281,.340
T. Ward,3,0,1,0,0,0,0,.227,.320,.470
M. Lugo,2,1,2,2,1,0,0,.213,.226,.475
J. Adell,5,1,3,1,1,0,1,.243,.304,.503
L. Rengifo,4,0,0,0,0,1,2,.245,.297,.344
O. Peraza,3,0,1,0,0,1,1,.227,.271,.318
L. O'Hoppe,3,0,0,0,0,1,1,.219,.260,.388
B. Teodosio,4,0,1,0,0,0,2,.188,.237,.259
