player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Ohtani,3,1,1,1,1,1,1,.284,.389,.624
M. Betts,4,1,2,0,0,0,0,.242,.312,.371
F. Freeman,3,0,0,0,0,0,1,.303,.376,.487
D. Rushing,1,0,0,0,0,0,0,.187,.257,.253
W. Smith,4,1,2,0,0,0,0,.313,.415,.518
M. Muncy,3,1,1,3,1,1,0,.262,.392,.498
A. Pages,3,0,1,0,0,0,2,.278,.320,.462
J. Dean,0,0,0,0,0,0,0,.000,.000,.000
M. Rojas,1,0,0,0,0,0,1,.239,.298,.392
M. Conforto,3,0,0,0,0,1,2,.189,.302,.330
A. Freeland,3,0,0,0,0,1,1,.200,.333,.200
A. Call,4,0,0,0,0,0,2,.133,.235,.200
