player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Ohtani,3,0,0,0,0,1,1,.277,.386,.603
M. Betts,4,0,1,0,0,0,0,.250,.322,.380
F. Freeman,4,1,2,1,1,0,0,.296,.369,.496
T. Hernández,4,0,0,0,0,0,0,.244,.281,.444
M. Conforto,3,0,0,0,0,1,0,.190,.297,.326
A. Pages,4,0,1,0,0,0,2,.272,.314,.460
H. Kim,1,0,0,0,0,0,1,.292,.325,.389
E. Hernández,2,0,1,0,0,1,0,.200,.260,.353
D. Rushing,2,0,0,0,0,0,2,.190,.254,.298
A. Call,1,0,0,0,0,0,1,.245,.339,.367
B. Rortvedt,1,0,0,0,0,0,1,.000,.000,.000
M. Rojas,3,0,0,0,0,1,0,.258,.319,.386
