player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
X. Edwards,4,0,1,0,0,0,0,.294,.359,.365
K. Stowers,4,0,1,0,0,0,0,.295,.372,.571
A. Ramirez,3,0,1,0,0,1,1,.242,.288,.464
L. Hicks,3,0,1,0,0,1,0,.260,.356,.373
O. Lopez,4,0,0,0,0,0,1,.247,.319,.379
J. Marsee,2,0,0,0,0,0,2,.400,.571,.900
J. Sanoja,2,1,1,1,1,0,0,.251,.291,.404
T. Johnston,2,0,0,0,0,0,1,.222,.222,.333
D. Hill,2,1,1,1,1,0,0,.217,.280,.359
D. Myers,4,0,0,0,0,0,3,.246,.301,.339
G. Pauley,2,0,1,0,0,0,0,.220,.290,.314
E. Wagaman,2,0,0,0,0,0,2,.232,.275,.338
