player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Turang,6,2,2,4,2,0,2,.276,.342,.386
W. Contreras,5,1,1,0,0,0,1,.258,.352,.376
D. Jansen,1,0,0,0,0,0,1,.167,.250,.167
A. Vaughn,5,0,2,0,0,0,0,.373,.429,.701
A. Monasterio,1,0,1,0,0,0,0,.250,.311,.375
C. Yelich,3,2,2,1,0,3,1,.263,.344,.451
I. Collins,5,2,2,0,0,1,1,.279,.378,.405
B. Perkins,4,2,0,0,0,2,1,.268,.348,.537
A. Seigler,1,0,0,0,0,1,1,.188,.250,.188
C. Durbin,2,2,2,1,0,0,0,.268,.350,.377
B. Lockridge,4,2,2,3,0,0,1,.364,.400,.364
J. Ortiz,4,1,2,4,0,1,1,.218,.271,.317
