player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Frelick,5,0,0,0,0,0,1,.296,.354,.404
W. Contreras,5,0,0,0,0,0,1,.238,.353,.341
C. Yelich,3,1,1,1,1,1,1,.259,.337,.460
J. Chourio,4,1,2,1,1,0,1,.253,.285,.445
B. Turang,4,0,0,0,0,0,3,.288,.361,.380
R. Hoskins,3,1,2,0,0,1,1,.242,.340,.424
A. Seigler,3,0,1,0,0,0,0,.167,.167,.167
C. Durbin,0,0,0,0,0,1,0,.250,.332,.361
J. Ortiz,3,0,0,1,0,0,0,.208,.268,.305
J. Bauers,1,0,0,0,0,0,1,.213,.333,.398
A. Monasterio,0,0,0,0,0,0,0,.192,.323,.269
E. Haase,2,0,1,0,0,1,1,.250,.304,.423
I. Collins,1,0,0,0,0,0,1,.268,.373,.421
