player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Lindor,4,0,0,1,0,0,2,.265,.333,.454
R. Mauricio,1,0,0,0,0,0,0,.231,.290,.385
J. Soto,4,2,2,1,1,1,1,.259,.399,.524
P. Alonso,5,2,2,2,2,0,0,.268,.346,.521
J. Young,0,0,0,0,0,0,0,.171,.222,.415
B. Nimmo,5,2,3,0,0,0,0,.267,.335,.455
M. Vientos,3,1,1,0,0,1,1,.242,.296,.434
L. Acuna,1,1,1,0,0,0,0,.242,.297,.286
J. McNeil,5,1,3,3,0,0,0,.264,.353,.456
C. Mullins,4,1,0,1,0,0,0,.188,.297,.294
L. Torrens,5,2,2,3,1,0,0,.229,.291,.354
B. Baty,5,0,3,1,0,0,0,.254,.316,.430
