player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
T. Grisham,5,0,0,0,0,0,0,.241,.347,.455
B. Rice,4,0,2,1,0,0,1,.232,.326,.459
A. Judge,4,0,1,1,0,0,1,.339,.445,.698
C. Bellinger,4,0,0,0,0,0,1,.272,.327,.489
J. Chisholm Jr.,4,1,0,0,0,0,1,.237,.329,.461
J. Dominguez,2,0,0,0,0,0,2,.255,.332,.391
A. Rosario,2,0,0,0,0,0,0,.429,.429,.571
A. Volpe,4,0,1,1,0,0,1,.221,.288,.422
R. McMahon,2,1,0,0,0,1,1,.282,.391,.333
P. Goldschmidt,1,0,0,0,0,0,0,.280,.336,.427
A. Wells,3,1,1,0,0,0,1,.209,.266,.415
G. Stanton,0,0,0,0,0,1,0,.268,.345,.528
J. Caballero,0,0,0,0,0,0,0,.000,.000,.000
