player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Langeliers,5,2,2,2,1,0,1,.274,.320,.549
B. Rooker,5,1,2,0,0,0,0,.273,.346,.495
C. Cortes,0,1,0,0,0,0,0,.256,.286,.333
N. Kurtz,5,3,3,3,1,0,1,.305,.384,.631
C. Thomas,3,2,3,3,1,0,0,.255,.302,.447
L. Butler,2,0,0,0,0,0,0,.232,.305,.408
D. Hernaiz,3,0,1,1,0,1,0,.224,.328,.388
J. Bleday,4,0,0,0,0,1,2,.217,.307,.396
W. MacIver,3,0,1,0,0,1,1,.233,.292,.417
B. Harris,3,1,1,0,0,1,1,.333,.500,.333
L. Urias,2,0,0,0,0,0,0,.232,.315,.344
T. Soderstrom,1,0,1,1,0,0,0,.264,.335,.470
M. Schuemann,0,0,0,0,0,0,0,.204,.303,.296
