player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Triolo,5,0,0,0,0,0,2,.221,.320,.346
S. Horwitz,4,0,1,0,0,0,0,.259,.329,.392
L. Peguero,1,0,0,0,0,0,1,.192,.263,.370
T. Pham,4,0,1,0,0,0,1,.264,.341,.389
N. Gonzales,3,1,1,0,0,1,0,.279,.321,.386
A. McCutchen,2,0,0,0,0,2,1,.246,.340,.384
O. Cruz,3,0,1,0,0,1,1,.204,.305,.394
H. Davis,3,0,0,0,0,0,2,.169,.242,.290
B. Reynolds,0,0,0,0,0,1,0,.245,.310,.407
J. Bart,0,0,0,0,0,0,0,.240,.345,.312
A. Canario,4,1,2,1,1,0,2,.212,.275,.332
C. Devanney,3,0,0,0,0,1,2,.000,.250,.000
