player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Horwitz,3,0,0,0,0,1,0,.240,.303,.347
J. Triolo,0,0,0,0,0,0,0,.159,.250,.268
T. Pham,3,0,1,0,0,1,1,.240,.315,.321
B. Reynolds,4,0,0,1,0,0,1,.226,.291,.374
N. Gonzales,4,1,1,1,1,0,0,.282,.336,.462
O. Cruz,4,1,1,1,1,0,1,.203,.314,.410
K. Hayes,4,0,1,0,0,0,2,.240,.288,.298
J. Suwinski,4,0,0,0,0,0,2,.109,.241,.130
H. Davis,3,0,1,0,0,0,0,.206,.263,.341
A. Frazier,1,0,0,0,0,0,0,.254,.318,.336
J. Bart,0,0,0,0,0,0,0,.234,.335,.288
I. Kiner-Falefa,2,1,1,0,0,1,0,.271,.317,.336
