player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Tatis Jr.,3,1,1,0,0,2,2,.266,.372,.433
W. Wagner,1,0,0,0,0,0,0,.200,.200,.200
L. Arraez,4,2,1,0,0,1,0,.283,.317,.387
M. Machado,4,2,2,1,0,1,1,.287,.348,.468
M. McCoy,1,0,0,0,0,0,0,.000,.000,.000
R. O'Hearn,6,2,2,1,0,0,2,.260,.348,.416
R. Laureano,5,1,2,3,1,0,1,.307,.358,.594
G. Sheets,4,0,2,2,0,0,1,.267,.330,.460
B. Johnson,1,1,1,0,0,0,0,.321,.368,.396
J. Iglesias,5,0,0,0,0,0,1,.228,.300,.274
J. Cronenworth,2,1,1,2,0,3,0,.250,.372,.395
E. Diaz,5,2,2,3,2,0,1,.202,.271,.335
