player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Tatis Jr.,3,0,0,0,0,1,1,.262,.369,.427
L. Arraez,4,1,1,2,1,0,1,.285,.318,.393
M. Machado,4,0,1,0,0,0,0,.284,.345,.461
G. Sheets,4,0,0,0,0,0,1,.265,.328,.455
R. Laureano,4,0,2,0,0,0,1,.296,.355,.540
J. Merrill,4,0,0,0,0,0,1,.258,.314,.408
J. Cronenworth,2,0,0,0,0,1,0,.247,.372,.392
M. McCoy,2,0,0,0,0,0,1,.000,.111,.000
W. Wagner,1,0,0,0,0,0,0,.143,.250,.143
E. Diaz,1,0,0,0,0,0,0,.201,.270,.333
F. Fermin,2,1,2,0,0,0,0,.256,.305,.346
R. O'Hearn,1,0,0,0,0,1,0,.278,.370,.449
