player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
H. Ramos,4,0,1,0,0,0,0,.268,.342,.406
R. Devers,4,0,1,0,0,0,0,.231,.343,.412
T. Fitzgerald,0,0,0,0,0,0,0,.225,.284,.330
C. Schmitt,3,0,1,0,0,1,2,.255,.325,.411
D. Smith,4,0,0,0,0,0,1,.276,.336,.403
W. Adames,4,0,0,0,0,0,2,.223,.309,.393
J. Lee,3,1,1,0,0,0,0,.257,.322,.407
G. McCray,1,0,0,0,0,0,0,.133,.133,.267
C. Koss,2,0,0,1,0,0,1,.252,.292,.360
P. Bailey,3,0,1,0,0,0,1,.217,.274,.305
A. Knizner,0,0,0,0,0,0,0,.173,.218,.231
D. Gilbert,3,0,0,0,0,0,0,.059,.059,.059
