player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
H. Ramos,3,0,0,0,0,1,1,.274,.350,.449
W. Adames,3,0,1,0,0,0,1,.219,.306,.358
B. Wisely,1,1,1,1,1,0,0,.194,.265,.355
R. Devers,3,0,1,0,0,0,1,.215,.307,.369
A. Knizner,1,0,0,0,0,0,0,.147,.171,.235
W. Flores,3,0,0,0,0,0,0,.238,.314,.378
D. Smith,1,1,1,0,0,0,0,.254,.333,.373
J. Lee,4,0,0,0,0,0,1,.244,.311,.400
L. Matos,4,0,1,0,0,0,0,.175,.224,.375
T. Fitzgerald,3,0,1,0,0,1,1,.227,.288,.320
P. Bailey,4,0,0,0,0,0,4,.191,.260,.276
S. Alcantara,4,0,0,0,0,0,2,.000,.000,.000
