player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Lee,5,0,1,2,0,0,0,.265,.327,.433
W. Adames,5,0,1,0,0,0,1,.201,.284,.340
H. Ramos,4,0,0,0,0,0,1,.286,.359,.465
D. Smith,2,0,0,0,0,2,0,.343,.405,.514
J. Encarnacion,1,0,0,0,0,0,1,.136,.136,.182
W. Flores,4,0,0,0,0,0,3,.256,.324,.409
C. Schmitt,1,0,0,0,0,0,0,.229,.325,.400
T. Fitzgerald,3,0,1,0,0,0,1,.246,.306,.341
M. Yastrzemski,3,1,2,0,0,1,1,.248,.347,.383
L. Porter,1,1,0,0,0,1,0,.167,.375,.167
D. Johnson,1,1,1,1,1,0,0,.235,.316,.471
A. Knizner,0,0,0,0,0,0,0,.105,.150,.263
C. Koss,4,1,1,1,0,0,0,.217,.270,.261
