player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Smith,3,0,0,0,0,0,0,.259,.336,.388
C. Freeman,1,0,0,0,0,0,0,.118,.118,.235
W. Langford,3,0,0,0,0,1,3,.241,.327,.415
C. Seager,3,1,1,1,1,0,0,.264,.367,.477
J. Pederson,4,1,1,1,1,0,0,.150,.276,.283
E. Carter,3,0,0,0,0,1,0,.250,.335,.399
M. Semien,3,0,0,0,0,1,1,.226,.303,.362
R. Tellez,2,0,1,0,0,0,0,.288,.345,.462
J. Jung,2,0,0,0,0,0,0,.240,.289,.374
A. Osuna,2,0,0,0,0,0,1,.154,.284,.205
E. Duran,1,0,0,0,0,0,0,.205,.268,.277
J. Heim,2,0,1,0,0,1,0,.220,.269,.341
