player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Smith,5,1,1,0,0,0,0,.276,.347,.410
C. Seager,4,2,2,0,0,0,2,.249,.349,.438
J. Jung,0,0,0,0,0,0,0,.237,.283,.366
M. Semien,3,3,1,0,0,2,0,.238,.317,.355
A. García,5,1,3,4,0,0,1,.231,.276,.395
A. Osuna,4,1,1,2,1,0,1,.167,.292,.241
M. Helman,0,1,0,0,0,1,0,.000,.500,.000
J. Heim,4,0,2,1,0,1,2,.222,.258,.362
B. McKinney,4,0,1,0,0,0,0,.250,.250,.250
J. Foscue,1,0,1,2,0,0,0,.167,.167,.333
E. Duran,4,0,1,0,0,0,1,.145,.229,.226
S. Haggerty,3,1,1,0,0,1,0,.252,.338,.383
