player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
G. Springer,4,2,2,0,0,1,1,.303,.391,.541
A. Barger,5,0,1,2,0,0,2,.251,.301,.470
V. Guerrero Jr.,4,0,0,0,0,1,2,.292,.389,.486
B. Bichette,5,0,2,2,0,0,0,.307,.350,.470
D. Varsho,4,0,0,0,0,0,1,.228,.279,.574
D. Schneider,3,3,2,2,2,1,1,.254,.373,.500
N. Lukes,3,0,1,0,0,0,1,.259,.335,.413
M. Straw,1,0,0,0,0,0,0,.259,.308,.362
T. Heineman,2,0,0,0,0,1,1,.315,.392,.460
T. France,1,1,1,1,1,0,0,.286,.352,.413
E. Clement,0,0,0,0,0,0,0,.274,.310,.396
A. Gimenez,3,2,2,2,1,0,0,.221,.305,.336
A. Kirk,1,1,1,0,0,0,0,.299,.363,.424
