player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
A. Gimenez,3,0,1,1,0,0,0,.218,.300,.322
L. Jimenez,1,1,0,0,0,0,0,.000,.000,.000
G. Springer,4,1,2,0,0,0,1,.284,.379,.513
B. Bichette,4,0,1,1,0,0,1,.271,.310,.424
A. Barger,4,0,0,1,0,0,0,.267,.326,.512
D. Schneider,3,0,0,0,0,0,0,.222,.372,.397
A. Kirk,1,0,0,0,0,0,1,.304,.356,.418
M. Straw,0,1,0,0,0,0,0,.248,.284,.314
N. Lukes,3,0,0,0,0,1,1,.266,.364,.373
E. Clement,3,0,0,0,0,0,1,.296,.339,.398
W. Wagner,3,1,1,0,0,0,0,.208,.313,.264
T. Heineman,2,0,0,0,0,0,2,.338,.384,.481
