player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
G. Springer,4,3,3,3,2,1,0,.305,.396,.550
N. Lukes,4,0,0,0,0,0,1,.253,.326,.401
M. Straw,1,0,0,0,0,0,0,.271,.320,.375
V. Guerrero Jr.,4,3,3,1,0,1,0,.291,.387,.478
B. Bichette,4,2,1,3,1,1,1,.310,.354,.482
D. Varsho,4,2,1,1,1,1,2,.228,.288,.591
A. Kirk,4,0,2,3,0,1,1,.297,.362,.423
D. Schneider,4,0,0,0,0,0,3,.245,.360,.477
A. Barger,1,0,0,0,0,0,0,.249,.300,.459
A. Gimenez,3,0,1,0,0,0,1,.216,.296,.323
T. France,1,0,1,0,0,0,0,.313,.373,.448
E. Clement,0,0,0,0,0,0,0,.273,.308,.392
I. Kiner-Falefa,3,2,0,0,0,0,1,.000,.250,.000
