player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
T. Pham,4,0,0,0,0,0,0,.245,.315,.340
A. McCutchen,3,0,0,0,0,1,0,.252,.334,.377
B. Reynolds,3,1,1,0,0,0,0,.226,.288,.372
J. Suwinski,1,0,0,0,0,0,1,.111,.238,.185
N. Gonzales,3,0,0,0,0,1,1,.259,.318,.415
O. Cruz,3,0,2,1,0,0,0,.216,.322,.416
A. Canario,1,0,0,0,0,0,0,.220,.287,.327
J. Bart,4,0,1,0,0,0,2,.236,.332,.292
S. Horwitz,3,0,0,0,0,0,0,.228,.293,.323
H. Davis,1,0,0,0,0,0,0,.197,.257,.326
K. Hayes,3,0,0,0,0,0,0,.236,.281,.290
I. Kiner-Falefa,2,0,1,0,0,0,0,.276,.319,.344
L. Peguero,1,0,0,0,0,0,0,.200,.273,.200
