play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695803,1,Top,Batter_42404,Pitcher_4307825,Pitch 1 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Pop Out', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 0}]",At-bat 4016958030001: Pitch 1 : Ball In Play,401695803,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695803,2025-08-06T16:36:16.541075,ARI,ATL
2,401695803,1,Top,Batter_32512,Pitcher_4307825,Pitch 3 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Home Run', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 0, 'strikes': 2}]",At-bat 4016958030002: Pitch 3 : Ball In Play,401695803,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695803,2025-08-06T16:36:16.541075,ARI,ATL
3,401695803,1,Top,Batter_41355,Pitcher_4307825,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 1}]",At-bat 4016958030003: Pitch 2 : Ball In Play,401695803,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695803,2025-08-06T16:36:16.541075,ARI,ATL
4,401695803,1,Mid,Batter_35066,Pitcher_4307825,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 82, 'balls': 3, 'strikes': 3}]",At-bat 4016958030004: ,401695803,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695803,2025-08-06T16:36:16.541075,ARI,ATL
5,401695803,1,Bottom,Batter_36185,Pitcher_39910,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}]",At-bat 4016958030101: Pitch 2 : Ball In Play,401695803,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695803,2025-08-06T16:36:16.541075,ARI,ATL
6,401695803,1,Bottom,Batter_4810190,Pitcher_39910,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 0, 'strikes': 1}]",At-bat 4016958030102: Pitch 2 : Ball In Play,401695803,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695803,2025-08-06T16:36:16.541075,ARI,ATL
7,401695803,1,End,Batter_34982,Pitcher_39910,Pitch 1 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 0}]",At-bat 4016958030103: Pitch 1 : Ball In Play,401695803,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695803,2025-08-06T16:36:16.541075,ARI,ATL
8,401695803,2,Top,Batter_32367,Pitcher_4307825,,Other,"[{'pitch_number': 1, 'result': 'Ground Rule Double', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 0}]",At-bat 4016958030201: ,401695803,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695803,2025-08-06T16:36:16.541075,ARI,ATL
9,401695803,2,Top,Batter_36040,Pitcher_4307825,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 94, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Slider', 'velocity': 83, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 84, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Strike Swinging', 'pitch_type': 'Slider', 'velocity': 83, 'balls': 3, 'strikes': 3}]",At-bat 4016958030202: ,401695803,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695803,2025-08-06T16:36:16.541075,ARI,ATL
10,401695803,2,Top,Batter_40767,Pitcher_4307825,Pitch 3 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 83, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 83, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 2, 'strikes': 0}]",At-bat 4016958030203: Pitch 3 : Ball In Play,401695803,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695803,2025-08-06T16:36:16.541075,ARI,ATL
