play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695008,1,Top,Batter_42404,Pitcher_41290,Pitch 3 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Pop Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 2}]",At-bat 4016950080001: Pitch 3 : Ball In Play,401695008,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695008,2025-08-06T16:20:43.632026,ARI,WSH
2,401695008,1,Top,Batter_32512,Pitcher_41290,Pitch 4 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 75, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 77, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}]",At-bat 4016950080002: Pitch 4 : Ball In Play,401695008,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695008,2025-08-06T16:20:43.632026,ARI,WSH
3,401695008,1,Top,Batter_40767,Pitcher_41290,,Other,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 75, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 77, 'balls': 2, 'strikes': 3}]",At-bat 4016950080003: ,401695008,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695008,2025-08-06T16:20:43.632026,ARI,WSH
4,401695008,1,Mid,Batter_35066,Pitcher_41290,Pitch 3 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 77, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Single', 'pitch_type': 'Curve', 'velocity': 77, 'balls': 0, 'strikes': 2}]",At-bat 4016950080004: Pitch 3 : Ball In Play,401695008,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695008,2025-08-06T16:20:43.632026,ARI,WSH
5,401695008,1,Bottom,Batter_42402,Pitcher_4721302,Pitch 2 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Home Run', 'pitch_type': 'Curve', 'velocity': 84, 'balls': 0, 'strikes': 1}]",At-bat 4016950080101: Pitch 2 : Ball In Play,401695008,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695008,2025-08-06T16:20:43.632026,ARI,WSH
6,401695008,1,Bottom,Batter_4918256,Pitcher_4721302,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}]",At-bat 4016950080102: Pitch 2 : Ball In Play,401695008,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695008,2025-08-06T16:20:43.632026,ARI,WSH
7,401695008,1,Bottom,Batter_38827,Pitcher_4721302,Pitch 2 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Line Out', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 0, 'strikes': 1}]",At-bat 4016950080103: Pitch 2 : Ball In Play,401695008,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695008,2025-08-06T16:20:43.632026,ARI,WSH
8,401695008,1,Bottom,Batter_40538,Pitcher_4721302,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 93, 'balls': 1, 'strikes': 0}]",At-bat 4016950080104: Pitch 2 : Ball In Play,401695008,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695008,2025-08-06T16:20:43.632026,ARI,WSH
9,401695008,1,Bottom,Batter_40459,Pitcher_4721302,Pitch 4 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 84, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 84, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 1, 'strikes': 2}]",At-bat 4016950080105: Pitch 4 : Ball In Play,401695008,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695008,2025-08-06T16:20:43.632026,ARI,WSH
10,401695008,1,End,Batter_32517,Pitcher_4721302,Pitch 4 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 83, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ground Out', 'pitch_type': 'Curve', 'velocity': 82, 'balls': 2, 'strikes': 1}]",At-bat 4016950080106: Pitch 4 : Ball In Play,401695008,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695008,2025-08-06T16:20:43.632026,ARI,WSH
